HomeID,VillageCode,Area,WealthRanking,nMembersAdjusted,nGenerations,Composition,NonNormativeComposition,OwnHouse,OwnGuesthouse,OwnFarm,HousingCharacteristics,fHousing,LandSize,LandSizeGeneratingIncome,nCars,nMotorcycles,nBicycles,Toilet,Water,HotWater,Electricity,AC,Fridge,Washer,RiceCooker,TV,TVViewing,CellPhone,Computer,InternetAccess,MedicineAtHome,Livestock,LivestockSales,nPigs,nGoats,nPoultry,nOxen,nHorses,nPigsSold,nGoatsSold,nPoultrySold,nOxenSold,nHorsesSold,PrimarySourceHouseholdIncome,SecondarySourceHouseholdIncome,HHIncomeMonthONLY,HHOtherIncomeONLY,HHIncomeTotalLastYear,HHTotalMonthIncome,HHIncomeIncomplete,IncomeFromRemittance,RegularIncomeFromLand,GovtLumpsumReceived,DibaoPerYear,GovtLandCompensation,HouseholdDebt,SourceOfHouseholdDebt,MajorShockLast5Years,MajorShockLifetime,FoodInsecurityLast5Years,FoodInsecurityChildhood,PctFoodHome,PctFoodMarket,FamilyConditionComparedOtherHouseholds,FamilyConditionCompared10YearsAgo,LastBabyBirthPlace,MotherBirthPlace,LastTimeToClinic,LastTimeToClinicReason,LastTimeToHospital,LastTimeToHospitalReason
171,3.1,3,Average,7,3,Matrilineal,,1,0,1,Wood,,27,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0,1,0,1,1,7,0,6,0,0,8,0,0,0,0,Agriculture,Salary (Irregular),-999,800,800,67,1,800,0,E,-998,,0,,No shock,Death,Always enough,Sometimes not enough,95,5,5,Better,Home,Home,Few years ago,Feminine,Few years ago,Ultrasound
173,3.1,3,Average,10,3,Bilateral,,1,0,1,Wood,,10,0,1,1,0,0,1,0,1,0,0,1,1,1,3,1,1,1,0,1,1,3,0,10,5,0,5,0,0,0,0,Agriculture,Salary (Irregular),-999,1500,1500,125,1,0,0,E,-998,,0,,No shock,No shock,Always enough,Sometimes not enough,90,10,5,Better,City,Home,Never,Na,Never,Na
203,3.1,3,Average,7,4,Matrilineal,,1,0,1,Wood,,16,0,2,1,0,2,2,1,1,0,1,1,1,1,3,1,1,1,1,1,1,8,0,40,6,0,0,0,0,0,0,Salary (Irregular),,-999,20000,20000,1667,1,20000,0,E,-998,,0,,No shock,No shock,Always enough,Never enough,85,15,6,Better,Ninglang,Home,Few months ago,Flu,Few years ago,Flu
210,1.1,1,Average,8,3,Patrilineal,1,1,1,3,Wood,,999,-999,2,1,0,2,3,1,1,0,1,1,1,1,3,1,1,1,1,1,1,5,0,6,0,0,0,0,0,0,0,Tourism,Property and Rent,2000,-999,24000,2000,1,0,R,0,No,,0,,No shock,No shock,Always enough,Always enough,15,85,5,Better,City,Home,Few years ago,Flu,Never,Na
215,1.1,1,Rich,8,3,Bilateral,,1,1,3,Wood,,8,-999,1,3,0,3,3,1,1,0,1,1,1,1,4,1,1,1,1,1,0,15,0,25,0,0,0,0,0,0,0,Property and Rent,Tourism,-999,120000,120000,10000,1,0,R,0,No,,0,,No shock,No shock,Always enough,Sometimes not enough,60,40,5,Better,Ninglang,Home,Never,Na,Last year,Alcohol overdose
225,3.2,3,Poor,5,3,Matrilineal,,1,0,1,Wood,,4,0,0,1,0,0,0,0,1,0,1,1,1,1,4,1,0,0,1,1,1,5,0,15,0,0,0,0,0,0,0,Salary (Irregular),Gifts and Remittances,-999,2300,2300,192,1,0,0,E,-998,,0,,No shock,No shock,Always enough,Sometimes not enough,90,10,3,-997,Yongning,Home,Last year,Follow up check up,Last year,Eye suegery
231,3.2,3,Rich,4,3,Patrilineal,1,1,0,1,Wood,,10,0,1,0,1,1,1,1,1,0,1,1,1,1,4,1,1,1,1,1,0,2,0,10,0,0,0,0,0,0,0,Agriculture,Business,-999,3500,3500,292,1,0,0,E,-998,,75000,Property purchase-repair,Death,No shock,Always enough,Always enough,85,15,5,Better,City,Home,Never,Na,Last year,Flu
236,3.2,3,Average,10,3,Bilateral,,1,0,1,Wood,,30,0,3,1,0,1,3,1,1,0,1,1,1,1,3,1,0,1,1,1,0,7,0,27,9,0,0,0,0,0,0,Salary (Irregular),,-999,2000,2000,167,1,2000,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,90,10,5,Better,City,Home,Never,Na,Few months ago,Galdbladder
262,3.2,3,Very Poor,3,2,Nuclear,1,1,0,1,Wood,,13,0,0,0,0,0,2,0,1,0,1,0,1,1,3,1,0,0,1,1,0,4,0,10,0,1,0,0,0,0,0,Agriculture,Salary (Regular),-999,1000,1000,83,1,0,0,E,-998,,40000,Medical,Death,No shock,Always enough,Always enough,100,0,1,Better,Home,Home,Never,Na,Never,Na
276,3.3,3,Very Rich,10,3,Matrilineal,,1,0,1,Wood,,19,0,2,2,1,2,1,1,1,0,1,1,1,1,4,1,1,1,1,1,0,14,0,48,0,0,0,0,0,0,0,Salary (Regular),,-999,20000,20000,1667,1,20000,0,E,-998,,0,,Earthquake,No shock,Always enough,Always enough,80,20,5,Better,City,Home,Never,Na,Few years ago,Baby delivery
